"street_type","name"
"Вулиця","14-го Грудня"
"Вулиця","2-го Українського фронту"
"Вулиця","30-річчя Перемоги"
"Вулиця","38-ї Армії"
"Площа","700-річчя Черкас"
"Провулок","8-го Березня"
"Провулок","I-й Одеський"
"Провулок","II-й Одеський"
"Провулок","XX-го Партз'їзду"
"Вулиця","Абрикосова"
"Провулок","Авіаційний"
"Вулиця","Автомобілістів"
"Вулиця","Айвазовського"
"Провулок","Айвазовського"
"Вулиця","Академіка Корольова"
"Вулиця","Академіка Сергія Єфремова"
"Провулок","Артема"
"Вулиця","Архітектора Городецького"
"Провулок","Архітектурний"
"Вулиця","Атамановського"
"Провулок","Атамановського"
"Вулиця","Байди Вишневецького"
"Вулиця","Балакірева"
"Провулок","Балакірева"
"Вулиця","Берегова"
"Провулок","Бєлінського"
"Вулиця","Бидгощська"
"Вулиця","Благовісна"
"Вулиця","Богдана Хмельницького"
"Площа","Богдана Хмельницького"
"Провулок","Богдана Хмельницького"
"Провулок","Богданівський"
"Провулок","Богомольця"
"Провулок","Богуна"
"Провулок","Боженка"
"Вулиця","Бориса Захарченка"
"Вулиця","Бородіна"
"Провулок","Бородіна"
"Вулиця","Братів Савченків"
"Провулок","Будівельний"
"Вулиця","Будіндустрії"
"Вулиця","Будьонного"
"Вулиця","В'ячеслава Чорновола"
"Вулиця","Василини"
"Вулиця","Василицька"
"Площа","Василя Симоненка"
"Вулиця","Ватутіна"
"Провулок","Ватутіна"
"Вулиця","Вербовецького"
"Провулок","Вергунівський"
"Вулиця","Вернигори"
"Вулиця","Весела"
"Провулок","Весняний"
"Вулиця","Вишнева"
"Провулок","Вишневий"
"Провулок","Віктора Бабанського"
"Провулок","Водоп’янова"
"Площа","Воїнів-інтернаціоналістів"
"Вулиця","Волкова"
"Провулок","Волкова"
"Вулиця","Володарського"
"Провулок","Воровського"
"Вулиця","Ворошилова"
"Вулиця","Гагаріна"
"Провулок","Гайдамацький"
"Вулиця","Гайдара"
"Вулиця","Галини Буркацької"
"Провулок","Гастелло"
"Вулиця","Гвардійська"
"Провулок","Гвардійський"
"Вулиця","Генерала Коротєєва"
"Вулиця","Генерала Путейка"
"Вулиця","Генерала Рибалка"
"Вулиця","Героїв Дніпра"
"Вулиця","Героїв Сталінграда"
"Вулиця","Геронимівська"
"Провулок","Герцена"
"Вулиця","Гетьмана Косинського"
"Вулиця","Глинки"
"Вулиця","Глібова"
"Вулиця","Гоголя"
"Вулиця","Горького"
