"district","street_type","name"
"Деснянський","Вулиця","Авіаторів"
"Деснянський","Вулиця","Авіації"
"Деснянський","Вулиця","Алєксєєва"
"Деснянський","Вулиця","Артема"
"Деснянський","Вулиця","Архітектурна"
"Деснянський","Вулиця","Білевич Олени"
"Деснянський","Вулиця","Багряного"
"Деснянський","Вулиця","Балицького"
"Деснянський","Вулиця","Березня"
"Деснянський","Вулиця","Бобровицька"
"Деснянський","Вулиця","Будiвельна"
"Деснянський","Вулиця","Василькова"
"Деснянський","Вулиця","Васильченка"
"Деснянський","Вулиця","Верьовки"
"Деснянський","Вулиця","Воїнiв-iнтернацiоналiстiв"
"Деснянський","Вулиця","Володимирська"
"Деснянський","Вулиця","Востришева"
"Деснянський","Вулиця","Гастелло"
"Деснянський","Вулиця","Героїв Чорнобиля"
"Деснянський","Вулиця","Гмирі"
"Деснянський","Вулиця","Горького"
"Деснянський","Вулиця","Григоренка"
"Деснянський","Вулиця","Грінченка"
"Деснянський","Вулиця","Дачна"
"Деснянський","Вулиця","Джерельна"
"Деснянський","Вулиця","Доценка"
"Деснянський","Вулиця","Єськова"
"Деснянський","Вулиця","Єфремова"
"Деснянський","Вулиця","Жовтнева"
"Деснянський","Вулиця","Зелена"
"Деснянський","Вулиця","Землянична"
"Деснянський","Вулиця","Інженерна"
"Деснянський","Вулиця","Київське шосе"
"Деснянський","Вулиця","Колгоспна"
"Деснянський","Вулиця","Комочкова"
"Деснянський","Вулиця","Корольова"
"Деснянський","Вулиця","Космонавтiв"
"Деснянський","Вулиця","Котовського"
"Деснянський","Вулиця","Лизогуба"
"Деснянський","Вулиця","Липинського"
"Деснянський","Вулиця","Маресьєва"
"Деснянський","Вулиця","Марка Вовчка"
"Деснянський","Вулиця","Матросова"
"Деснянський","Вулиця","Матчанова"
"Деснянський","Вулиця","Менделєєва"
"Деснянський","Вулиця","Менжинського"
"Деснянський","Вулиця","Механiзаторiв"
"Деснянський","Вулиця","Михалевича"
"Деснянський","Вулиця","Молодiжна"
"Деснянський","Вулиця","Молодчого"
"Деснянський","Вулиця","Мстиславська"
"Деснянський","Вулиця","Нiжинська"
"Деснянський","Вулиця","Набережна"
"Деснянський","Вулиця","Надiї"
"Деснянський","Вулиця","Некрасова"
"Деснянський","Вулиця","Немировича-Данченка"
"Деснянський","Вулиця","Нова"
"Деснянський","Вулиця","Новоселiв"
"Деснянський","Вулиця","Новоукраїнська"
"Деснянський","Вулиця","Овражна"
"Деснянський","Вулиця","Одинцова"
"Деснянський","Вулиця","Озерна"
"Деснянський","Вулиця","Орджонiкiдзе"
"Деснянський","Вулиця","Освiти"
"Деснянський","Вулиця","Осипенко"
"Деснянський","Вулиця","П`ятницька"
"Деснянський","Вулиця","Пiвнiчна"
"Деснянський","Вулиця","Пiдвальна"
"Деснянський","Вулиця","Пiдгiрна"
"Деснянський","Вулиця","Пiонерська"
"Деснянський","Вулиця","Пiщана"
"Деснянський","Вулиця","Павлова"
"Деснянський","Вулиця","Панфiловцiв"
"Деснянський","Вулиця","Паризької Комуни"
"Деснянський","Вулиця","Партз'їзду"
"Деснянський","Вулиця","Партизанська"
"Деснянський","Вулиця","Подвойського"
"Деснянський","Вулиця","Полуботка"
"Деснянський","Вулиця","Польова"
"Деснянський","Вулиця","Правди"
"Деснянський","Вулиця","Преображенська"
"Деснянський","Вулиця","Примiська"
"Деснянський","Вулиця","Проектна"
"Деснянський","Вулиця","Профрад"
"Деснянський","Вулиця","Пухова"
"Деснянський","Вулиця","Пушкiна"
"Деснянський","Вулиця","Рiчна"
"Деснянський","Вулиця","Радіозаводська"
"Деснянський","Вулиця","Радищева"
"Деснянський","Вулиця","Рахматулiна"
"Деснянський","Вулиця","Рєпiна"
"Деснянський","Вулиця","Родимцева"
"Деснянський","Вулиця","Рокоссовського"
"Деснянський","Вулиця","Русової"
"Деснянський","Вулиця","Сiверська"
"Деснянський","Вулиця","Савчука"
"Деснянський","Вулиця","Сагайдак"
"Деснянський","Вулиця","Садова"
"Деснянський","Вулиця","Самойловича"
"Деснянський","Вулиця","Седнiвська"
"Деснянський","Вулиця","Серьожнiкова"
"Деснянський","Вулиця","Скоропадського"
"Деснянський","Вулиця","Сосницька"
"Деснянський","Вулиця","Соснова"
"Деснянський","Вулиця","Спаська"
"Деснянський","Вулиця","СРСР"
"Деснянський","Вулиця","Станiславського"
"Деснянський","Вулиця","Староказармена"
"Деснянський","Вулиця","Староказармена дільниця"
"Деснянський","Вулиця","Стрiлецька"
"Деснянський","Вулиця","Схiдна"
"Деснянський","Вулиця","Таранущенка"
"Деснянський","Вулиця","Таращанська"
"Деснянський","Вулиця","Тельмана"
"Деснянський","Вулиця","Тополина"
"Деснянський","Вулиця","Травня"
"Деснянський","Вулиця","Тракторна"
"Деснянський","Вулиця","Українська"
"Деснянський","Вулиця","Урожайна"
"Деснянський","Вулиця","Фiкселя"
"Деснянський","Вулиця","Федорова"
"Деснянський","Вулиця","Федоровського"
"Деснянський","Вулиця","Цеткiн"
"Деснянський","Вулиця","Чайковського"
"Деснянський","Вулиця","Чапаєва"
"Деснянський","Вулиця","Челюскiнцiв"
"Деснянський","Вулиця","Червоногвардiйська"
"Деснянський","Вулиця","Чернiгiвська"
"Деснянський","Вулиця","Чернишевського"
"Деснянський","Вулиця","Черняховського"
"Деснянський","Вулиця","Шевченка"
"Деснянський","Вулиця","Шкiльна"
"Деснянський","Вулиця","Шмідта"
"Деснянський","Вулиця","Шрага"
"Деснянський","Вулиця","Яблунева"
