"district","street_type","name"
"Орджонікідзевський","Вулиця","12 Квітня"
"Дзержинський","Вулиця","23 Серпня"
"Червонозаводський","Вулиця","Абаканська"
"Червонозаводський","Вулиця","Абразумівська"
"Київський","Вулиця","Абрикосова"
"Орджонікідзевський","Вулиця","Авангардна"
"Дзержинський","Вулиця","Авіахімічна"
"Дзержинський","Вулиця","Авіаційна"
"Жовтневий","Вулиця","Аврамівська"
"Фрунзенський","Вулиця","Автоґенна"
"Московський","Вулиця","Автострадна"
"Московський","Вулиця","Автотракторна"
"Комінтернівський","Вулиця","Автошляхова"
"Дзержинський","Вулиця","Аграрна"
"Червонозаводський","Вулиця","Агрономічна"
"Московський","Вулиця","Адигейська"
"Червонозаводський","Вулиця","Аеродромна"
"Комінтернівський","Вулиця","Аеропортна"
"Комінтернівський","Вулиця","Аерофлотська"
"Червонозаводський","Вулиця","Азарбейджанська"
"Жовтневий","Вулиця","Азовстальська"
"Київський","Вулиця","Азовська"
"Київський","Провулок","Азовський"
"Фрунзенський","Вулиця","Айвазовського"
"Жовтневий","Вулиця","Академіка Богомольця"
"Київський","Вулиця","Академіка Вальтера"
"Київський","Вулиця","Академіка Павлова"
"Київський","Вулиця","Академіка Проскури"
"Київський","Вулиця","Академіка Синельникова"
"Фрунзенський","Вулиця","Академіка Філіппова"
"Київський","Вулиця","Академічна"
"Комінтернівський","Вулиця","Актюбінська"
"Червонозаводський","Вулиця","Алексєєва Петра"
"Ленінський","Вулиця","Алмазна"
"Фрунзенський","Вулиця","Алматинська"
"Дзержинський","Вулиця","Алупкінська"
"Ленінський","Вулиця","Алуштинська"
"Київський","Вулиця","Амурська"
"Комінтернівський","Вулиця","Анадирська"
"Комінтернівський","Вулиця","Анапська"
"Московський","Вулиця","Ангарська"
"Дзержинський","Вулиця","Анрі Барбюса"
"Жовтневий","Вулиця","Антокольського"
"Червонозаводський","Вулиця","Аравійська"
"Дзержинський","Вулиця","Аральська"
"Київський","Вулиця","Арктична"
"Червонозаводський","Вулиця","Арматурна"
"Дзержинський","Вулиця","Армійська"
"Жовтневий","Вулиця","Арсенальна"
"Київський","Вулиця","Артема"
"Дзержинський","Вулиця","Артилерійська"
"Московський","Вулиця","Артільна"
"Червонозаводський","Вулиця","Артюхівська"
"Жовтневий","Вулиця","Архангельська"
"Дзержинський","Вулиця","Архітекторів"
"Комінтернівський","Вулиця","Аскольдівська"
"Київський","Вулиця","Астраханська"
"Київський","Вулиця","Астрономічна"
"Ленінський","Вулиця","Афанасівська"
"Дзержинський","Вулиця","Ахсарова"
"Ленінський","Вулиця","Ашгабатська"
"Жовтневий","Вулиця","Бабушкіна"
"Жовтневий","Вулиця","Баварська"
"Фрунзенський","Вулиця","Багратіона"
"Московський","Вулиця","Бадаєва"
"Фрунзенський","Вулиця","Базарна"
"Комінтернівський","Вулиця","Байдарська"
"Київський","Вулиця","Байкальська"
"Жовтневий","Вулиця","Бакинська"
"Київський","Вулиця","Бакинських Комісарів"
"Дзержинський","Вулиця","Бакуліна"
"Київський","Вулиця","Бакуліна"
"Жовтневий","Вулиця","Бакуніна"
"Дзержинський","Вулиця","Балакірєва"
"Червонозаводський","Вулиця","Балаклійська"
"Комінтернівський","Вулиця","Балашовська"
"Фрунзенський","Вулиця","Балканська"
