"street_type","name"
"Вулиця","Авіаційна"
"Провулок","Авіаційний"
"Вулиця","Аеродромна"
"Вулиця","Атерлея"
"Провулок","Атерлея"
"Вулиця","Бажана Миколи"
"Вулиця","Басейна"
"Провулок","Басейний"
"Проїзд","Басейний"
"Вулиця","Бегми"
"Вулиця","Березнева"
"Вулиця","Бєлгородська"
"Провулок","Бєлгородський"
"Вулиця","Блакитна"
"Вулиця","Богуна Івана"
"Вулиця","Боженка"
"Провулок","Болотний"
"Вулиця","Будівельників"
"Вулиця","Будьонного"
"Вулиця","Бузька"
"Вулиця","Булаєнка"
"Вулиця","Вайсера"
"Вулиця","Васяніна"
"Вулиця","Ватутіна"
"Провулок","Ватутіна"
"Вулиця","Верейського"
"Провулок","Верейського"
"Провулок","Верхній"
"Провулок","Верхній Береговий"
"Вулиця","Верхня"
"Вулиця","Верхня Берегова"
"Вулиця","Весела"
"Провулок","Веселий"
"Вулиця","Весняна"
"Провулок","Весняний"
"Вулиця","Вигодовського"
"Вулиця","Визволителів"
"Вулиця","Винниченка"
"Провулок","Винниченка"
"Вулиця","Висока"
"Провулок","Високий"
"Вулиця","Вишнева"
"Вулиця","Вишні Остапа"
"Провулок","Військоматський"
"Шосе","Вінницьке"
"Вулиця","Вітанова"
"Вулиця","Водопровідна"
"Вулиця","Вокзальна"
"Провулок","Вокзальний"
"Провулок","Володарського"
"Вулиця","Володимирська"
"Провулок","Володимирський"
"Вулиця","Волочиська"
"Провулок","Волочиський"
"Проїзд","Волочиський"
"Вулиця","Волошкова"
"Вулиця","Воровського"
"Вулиця","Восьмого Березня"
"Вулиця","Гавришка"
"Вулиця","Гагаріна"
"Провулок","Гагаріна"
"Вулиця","Гайдамацька"
"Провулок","Гайдамацький"
"Вулиця","Гайдара"
"Провулок","Гайдара"
"Проїзд","Гайдара"
"Вулиця","Галана"
"Вулиця","Ганжі Івана"
"Провулок","Ганжі Івана"
"Вулиця","Гарнізонна"
"Вулиця","Гастелло"
"Вулиця","Гвардійська"
"Провулок","Гвардійський"
"Вулиця","Геологів"
"Вулиця","Герцена"
"Вулиця","Глібова"
"Проїзд","Глібова"
"Вулиця","Глінки"
"Провулок","Глухий"
"Вулиця","Гоголя"
"Провулок","Гоголя"
"Проїзд","Гоголя"
"Провулок","Головіна"
"Вулиця","Ґонти Івана"
"Провулок","Ґонти Івана"
"Вулиця","Гончарова"
"Вулиця","Горбанчука"
"Вулиця","Гордієнка"
"Провулок","Городній"
"Вулиця","Городня"
"Вулиця","Городовикова"
"Вулиця","Горького"
"Вулиця","Госпітальна"
"Провулок","Госпітальний"
"Вулиця","Гощинського"
"Провулок","Гречанський"
"Вулиця","Гречка Маршала"
"Вулиця","Грибоєдова"
"Вулиця","Гринівецька"
"Вулиця","Громової"
"Вулиця","Грушевського"
"Провулок","Гуменюка"
"Вулиця","Гунашевського"
"Вулиця","Гуцалюка"
"Провулок","Дальній"
"Провулок","Дачний"
"Вулиця","Дейгена"
"Вулиця","Декабристів"
"Вулиця","Деповська"
"Вулиця","Депутатська"
"Вулиця","Джерельна"
"Вулиця","Джумаківка"
"Вулиця","Димитрова"
"Провулок","Димитрова"
"Вулиця","Димінського"
"Вулиця","Довженка"
"Вулиця","Достоєвського"
"Провулок","Достоєвського"
"Вулиця","Дружби"
"Провулок","Дружби"
"Вулиця","Дубівська"
"Провулок","Дубівський"
"Вулиця","Дубініна"
"Проїзд","Дубініна"
"Провулок","Ентузіастів 1-й"
"Провулок","Ентузіастів 2-й"
"Вулиця","Жванецька"
"Вулиця","Житецького"
"Провулок","Житній"
"Проїзд","Житній"
"Вулиця","Житня"
"Провулок","Жовтневий"
"Вулиця","Жукова Маршала"
"Провулок","Жукова Маршала"
"Провулок","Жуковського"
"Вулиця","Заболотного Академіка"
"Вулиця","Завадського"
"Провулок","Завадського"
"Вулиця","Заводська"
"Провулок","Заводський"
"Вулиця","Залізнична"
"Вулиця","Залізняка"
"Провулок","Запрудний"
"Вулиця","Заремби"
"Вулиця","Зарічанська"
"Провулок","Зарічанський"
"Провулок","Затишний"
"Вулиця","Західна"
"Вулиця","Західна Окружна"
"Вулиця","Заярна"
"Вулиця","Збарського Академіка"
"Провулок","Збарського Академіка"
"Вулиця","Зв'язківців"
"Провулок","Зв'язківців"
"Вулиця","Зелена"
"Вулиця","Зенітна"
"Провулок","Зенітний"
"Вулиця","Зоряна"
"Провулок","Зоряний"
"Вулиця","Івасюка Володимира"
"Провулок","Індустріальний"
"Проїзд","Індустріальний"
"Вулиця","Інститутська"
"Провулок","Іподромний"
"Проїзд","Іподромний"
"Вулиця","Кавказька"
"Провулок","Кавказький"
"Вулиця","Калинова"
"Вулиця","Калнишевського"
"Вулиця","Кам'янецька"
"Провулок","Кам'янецький"
"Вулиця","Карбишева Генерала"
"Вулиця","Кармалюка"
"Вулиця","Катіонівська"
"Провулок","Катіонівський"
"Проїзд","Катіонівський"
"Вулиця","Квіткова"
"Вулиця","Київська"
"Провулок","Київський"
"Вулиця","Кирпоноса Генерала"
"Провулок","Кирпоноса Генерала"
"Провулок","Кільцевий"
"Вулиця","Кленова"
"Провулок","Кленовий"
"Провулок","Клубний"
"Вулиця","Кобилянської"
"Вулиця","Ковпака"
"Провулок","Ковпака"
"Провулок","Кожедуба"
"Вулиця","Козака Сергія"
"Вулиця","Козацька"
"Провулок","Козацький"
