"district","street_type","name"
"Ленінський","Вулиця","20 років міліції"
"Ленінський","Вулиця","40 років Жовтня"
"Кіровський","Вулиця","40 років Радянської Армії"
"Кіровський","Вулиця","40 років України"
"Кіровський","Провулок","40 років України"
"Кіровський","Вулиця","50 років Жовтня"
"Кіровський","Вулиця","50 років Радянської Армії"
"Ленінський","Провулок","Абаканський"
"Кіровський","Вулиця","Авіаційна"
"Кіровський","Вулиця","Автолюбителів"
"Ленінський","Вулиця","Адама Міцкевича"
"Ленінський","Вулиця","Аджамська"
"Ленінський","Проїзд","Аджамський"
"Ленінський","Провулок","Аджамський"
"Кіровський","Вулиця","Аерофлотська"
"Кіровський","Провулок","Азовський"
"Кіровський","Тупик","Азовський"
"Ленінський","Вулиця","Айвазовського"
"Ленінський","Провулок","Айвазовського"
"Кіровський","Вулиця","Академіка Корольова"
"Ленінський","Провулок","Акимівський"
"Ленінський","Вулиця","Акмолінська"
"Кіровський","Вулиця","Аксьонкіної"
"Ленінський","Вулиця","Алтайська"
"Ленінський","Провулок","Алтайський"
"Ленінський","Вулиця","Амурська"
"Ленінський","Провулок","Ананіївський"
"Ленінський","Тупик","Ананіївський"
"Кіровський","Вулиця","Андріївська"
"Кіровський","Провулок","Андріївський"
"Кіровський","Вулиця","Антонова"
"Кіровський","Провулок","Армійський"
"Кіровський","Тупик","Армійський"
"Ленінський","Провулок","Арнаутовський"
"Ленінський","Тупик","Арнаутовський"
"Ленінський","Вулиця","Арсенія Тарковського"
"Кіровський","Вулиця","Артема"
"Кіровський","Провулок","Артилерійський"
"Ленінський","Провулок","Артилерійський 1-й"
"Ленінський","Провулок","Артилерійський 2-й"
"Ленінський","Вулиця","Архангельська"
"Кіровський","Провулок","Архангельський"
"Ленінський","Вулиця","Архітектора Достоєвського"
"Ленінський","Провулок","Архітектора Достоєвського"
"Кіровський","Вулиця","Бабушкіна"
"Ленінський","Вулиця","Багратіона"
"Ленінський","Вулиця","Бажана"
"Ленінський","Вулиця","Баженова"
"Ленінський","Вулиця","Байкальська"
"Кіровський","Вулиця","Балашівська"
"Ленінський","Провулок","Балківський"
"Кіровський","Вулиця","Балтійська"
"Кіровський","Провулок","Банний"
"Кіровський","Вулиця","Барболіна"
"Ленінський","Вулиця","Барболіна"
"Ленінський","Вулиця","Батальйонна"
"Ленінський","Вулиця","Батарейна"
"Кіровський","Провулок","Батарейний"
"Кіровський","Провулок","Батумський"
"Ленінський","Вулиця","Баумана"
"Ленінський","Провулок","Баумана"
"Ленінський","Вулиця","Башкирська"
"Кіровський","Вулиця","Берегова"
"Кіровський","Провулок","Береговий"
"Кіровський","Тупик","Береговий"
"Ленінський","Вулиця","Бережинська"
"Ленінський","Провулок","Бережинський 1-й"
"Ленінський","Провулок","Бережний"
"Кіровський","Провулок","Березовий"
"Ленінський","Провулок","Береславський"
"Ленінський","Тупик","Береславський"
"Кіровський","Провулок","Бехтерева"
"Ленінський","Вулиця","Бєлгородська"
"Кіровський","Вулиця","Бєлінського"
"Кіровський","Вулиця","Бєляєва"
"Кіровський","Вулиця","Біанська Набережна"
"Кіровський","Тупик","Біанський"
"Ленінський","Провулок","Білоруський"
"Ленінський","Провулок","Бобринецький"
"Ленінський","Тупик","Бобринецький"
"Кіровський","Вулиця","Богдана Хмельницького"
"Кіровський","Площа","Богдана Хмельницького"
"Ленінський","Площа","Богдана Хмельницького"
"Кіровський","Вулиця","Боженка"
"Кіровський","Провулок","Боженка"
"Кіровський","Провулок","Бородінський"
"Кіровський","Провулок","Ботанічний"
"Кіровський","Вулиця","Братиславська"
"Кіровський","Провулок","Братиславський"
"Кіровський","Провулок","Братиславський 2-й"
"Кіровський","Вулиця","Братська"
"Кіровський","Вулиця","Брестська"
"Кіровський","Вулиця","Брянська"
"Кіровський","Вулиця","Будівельників"
"Кіровський","Провулок","Будівельників"
"Ленінський","Вулиця","Будьонного"
"Ленінський","Провулок","Будьонного"
"Кіровський","Вулиця","Буровугільна"
"Ленінський","Провулок","Бутовського"
"Ленінський","Вулиця","В'ячеслава Чорновола"
"Кіровський","Вулиця","Валентини Терешкової"
"Ленінський","Вулиця","Ванди Василевської"
"Кіровський","Вулиця","Варшавська"
"Ленінський","Вулиця","Василини"
"Кіровський","Провулок","Василівський"
"Ленінський","Вулиця","Васильківського"
"Ленінський","Провулок","Васильківського"
"Ленінський","Вулиця","Василя Стуса"
"Ленінський","Вулиця","Васнецова"
"Ленінський","Провулок","Васнецова"
"Ленінський","Вулиця","Ватутіна"
"Ленінський","Проїзд","Ватутіна"
"Ленінський","Провулок","Ватутіна"
"Ленінський","Тупик","Ватутіна"
"Ленінський","Вулиця","Велика Пермська"
"Кіровський","Вулиця","Велика Перспективна"
"Ленінський","Вулиця","Велика Перспективна"
"Кіровський","Провулок","Великовисківський"
"Ленінський","Вулиця","Вербицького"
"Ленінський","Провулок","Вербицького"
"Ленінський","Вулиця","Верещагіна"
"Кіровський","Тупик","Верхній"
"Кіровський","Тупик","Верхній Биковський"
"Ленінський","Провулок","Верхній Степовий"
"Ленінський","Провулок","Верхньовеселий"
"Кіровський","Вулиця","Верхня"
"Кіровський","Вулиця","Верхня Биковська"
"Ленінський","Вулиця","Верхня П'ятихатська"
"Ленінський","Вулиця","Верхня Прирічна"
"Ленінський","Провулок","Веселий"
"Ленінський","Тупик","Весняний"
"Кіровський","Проспект","Винниченка"
"Кіровський","Провулок","Виноградний"
"Кіровський","Вулиця","Виставочна"
