"district","street_type","name"
"Оболонський","Вулиця","Абрикосова"
"Подільський","Вулиця","Абрикосова"
"Святошинський","Вулиця","Яснополянська"
"Святошинський","Вулиця","Авдєєнка Генерала"
"Дарницький","Вулиця","Авіаційна"
"Солом'янський","Провулок","Автогенний"
"Оболонський","Вулиця","Автозаводська"
"Оболонський","Провулок","Автозаводський"
"Дарницький","Вулиця","Автопаркова"
"Солом'янський","Вулиця","Авторемонтна"
"Дарницький","Вулиця","Автотранспортна"
"Солом'янський","Вулиця","Агітаторська"
"Оболонський","Вулиця","Агрегатна"
"Солом'янський","Вулиця","Аеродромна"
"Дніпровський","Вулиця","Азербайджанська"
"Солом'янський","Вулиця","Азовська"
"Печерський","Вулиця","Аїстова"
"Шевченківський","Провулок","Айвазовського"
"Святошинський","Вулиця","Алексухіна Василя"
"Дніпровський","Вулиця","Алма-Атинська"
"Оболонський","Вулиця","Аляб'єва"
"Солом'янський","Вулиця","Амосова Миколи"
"Голосіївський","Вулиця","Амурська"
"Голосіївський","Площа","Амурська"
"Подільський","Вулиця","Ананасна"
"Подільський","Вулиця","Андріївська"
"Подільський","Узвіз","Андріївський"
"Печерський","Площа","Андрія Первозванного"
"Шевченківський","Вулиця","Андрющенка Григорія"
"Печерський","Вулиця","Анищенка"
"Деснянський","Площа","Анкари"
"Дарницький","Вулиця","Антоненка-Давидовича Бориса"
"Солом'янський","Вулиця","Антонова Авіаконструктора"
"Святошинський","Вулиця","Антонова-Овсієнка"
"Дарницький","Вулиця","Ареф'єва Костянтина"
"Оболонський","Вулиця","Аркасівська"
"Голосіївський","Вулиця","Армійська"
"Печерський","Вулиця","Арсенальна"
"Печерський","Площа","Арсенальна"
"Печерський","Провулок","Арсенальний"
"Подільський","Провулок","Артезіанський"
"Шевченківський","Вулиця","Артема"
"Шевченківський","Провулок","Артилерійський"
"Солом'янський","Вулиця","Архітекторська"
"Печерський","Провулок","Аскольдів"
"Дніпровський","Вулиця","Астраханська"
"Дніпровський","Провулок","Астраханський"
"Святошинський","Вулиця","Астрономічна"
"Дарницький","Вулиця","Ахматової Анни"
"Шевченківський","Вулиця","Бабушкіна"
"Шевченківський","Провулок","Бабушкіна"
"Шевченківський","Вулиця","Багговутівська"
"Солом'янський","Вулиця","Багратіона"
"Голосіївський","Вулиця","Багряна дуброва"
"Дніпровський","Вулиця","Багряного Івана"
"Дарницький","Проспект","Бажана Миколи"
"Дніпровський","Вулиця","Бажова"
"Голосіївський","Вулиця","Байкальська"
"Голосіївський","Вулиця","Байкова"
"Шевченківський","Вулиця","Бакинська"
"Шевченківський","Провулок","Бакинський"
"Дніпровський","Провулок","Бакинських Комісарів"
"Подільський","Вулиця","Баклажанна"
"Солом'янський","Вулиця","Бакуніна"
"Голосіївський","Вулиця","Балакирева"
"Голосіївський","Провулок","Балакирева"
"Святошинський","Вулиця","Балакліївська"
"Оболонський","Провулок","Балтійський"
"Деснянський","Вулиця","Оноре де Бальзака"
"Печерський","Вулиця","Банкова"
"Печерський","Вулиця","Барбюса Анрі"
"Голосіївський","Вулиця","Баренбойма"
"Голосіївський","Вулиця","Барикадна"
"Печерський","Вулиця","Басейна"
"Шевченківський","Вулиця","Басейна"
"Печерський","Вулиця","Бастіонна"
"Печерський","Провулок","Бастіонний"
"Голосіївський","Вулиця","Батумська"
"Дарницький","Вулиця","Батуринська"
"Дарницький","Провулок","Батуринський"
"Шевченківський","Вулиця","Баумана"
"Шевченківський","Провулок","Баумана"
"Дніпровський","Вулиця","Баха Академіка"
"Святошинський","Вулиця","Бахмацька"
"Шевченківський","Вулиця","Бердичівська"
"Шевченківський","Вулиця","Бердянська"
"Шевченківський","Провулок","Бердянський"
"Дніпровський","Вулиця","Берегова"
"Оболонський","Вулиця","Бережанська"
"Дніпровський","Вулиця","Березнева"
"Дарницький","Вулиця","Березнева"
"Дарницький","Провулок","Березневий"
"Дарницький","Провулок","Березневий 3-й"
"Дніпровський","Вулиця","Березняківська"
"Оболонський","Вулиця","Берестецька"
"Деснянський","Вулиця","Беретті Вікентія"
"Святошинський","Вулиця","Берковецька"
"Шевченківський","Вулиця","Берлинського Максима"
"Шевченківський","Площа","Бессарабська"
"Подільський","Вулиця","Бестужева Олександра"
"Подільський","Провулок","Бестужева Олександра"
"Святошинський","Вулиця","Бетховена"
"Шевченківський","Провулок","Бехтеревський"
"Шевченківський","Провулок","Бєлінського Чеслава"
"Деснянський","Вулиця","Биківнянська"
"Деснянський","Провулок","Биківнянський"
"Подільський","Провулок","Биківський"
"Деснянський","Бульвар","Бикова Леоніда"
"Дніпровський","Провулок","Бишівський"
"Деснянський","Вулиця","Бігова"
"Деснянський","Вулиця","Білаша Олександра"
"Солом'янський","Вулиця","Білгородська"
"Солом'янський","Вулиця","Білецького Академіка"
"Подільський","Вулиця","Білицька"
"Подільський","Провулок","Білицький"
"Святошинський","Вулиця","Біличанська"
"Святошинський","Вулиця","Білогородська"
"Печерський","Вулиця","Білокур Катерини"
"Деснянський","Вулиця","Біломорська"
"Шевченківський","Вулиця","Білоруська"
"Святошинський","Вулиця","Біляшівського Академіка"
