"district","street_type","name"
"Шевченківський","Вулиця","Абхазька"
"Залізничний","Вулиця","Авіаційна"
"Шевченківський","Проїзд","Автобудівельників"
"Залізничний","Вулиця","Агабек-Заде Мохамеда"
"Залізничний","Вулиця","Аґрусова"
"Личаківський","Вулиця","Азовська"
"Франківський","Вулиця","Айвазовського Івана"
"Шевченківський","Вулиця","Акацієва"
"Залізничний","Вулиця","Алмазна"
"Шевченківський","Вулиця","Алмазова Олекси"
"Шевченківський","Вулиця","Алчевської Христини"
"Залізничний","Вулиця","Ангарна"
"Залізничний","Вулиця","Ангеловича Антіна"
"Сихівський","Вулиця","Антоненка-Давидовича Бориса"
"Сихівський","Вулиця","Антонича Богдана-Ігора"
"Франківський","Вулиця","Антоновича Володимира"
"Залізничний","Вулиця","Апостола Данила"
"Личаківський","Вулиця","Аральська"
"Франківський","Вулиця","Аркаса Миколи"
"Галицький","Вулиця","Арсенальська"
"Галицький","Вулиця","Архипенка Олександра"
"Личаківський","Вулиця","Архипенка Олександра"
"Галицький","Вулиця","Архівна"
"Залізничний","Вулиця","Архітекторська"
"Залізничний","Вулиця","Бабія Олеся"
"Шевченківський","Вулиця","Багалія Дмитра"
"Франківський","Вулиця","Багряного Івана"
"Залізничний","Вулиця","Бажана Миколи"
"Личаківський","Вулиця","Базальтова"
"Шевченківський","Вулиця","Базарна"
"Залізничний","Вулиця","Бакинська"
"Шевченківський","Вулиця","Балабана Маєра"
"Личаківський","Вулиця","Балкова"
"Франківський","Вулиця","Балтійська"
"Шевченківський","Вулиця","Оноре де Бальзака"
"Личаківський","Вулиця","Банаха Стефана"
"Галицький","Вулиця","Бандери Степана"
"Франківський","Вулиця","Бандери Степана"
"Залізничний","Вулиця","Бандрівського Дмитра"
"Галицький","Вулиця","Банківська"
"Залізничний","Вулиця","Барбарисова"
"Франківський","Вулиця","Барвінок Ганни"
"Личаківський","Вулиця","Барвінських"
"Шевченківський","Вулиця","Баронча Садока"
"Личаківський","Вулиця","Басараб Ольги"
"Шевченківський","Вулиця","Батуринська"
"Личаківський","Вулиця","Бахматюка Олекси"
"Личаківський","Вулиця","Бачинського Юліана"
"Залізничний","Вулиця","Баштанна"
"Личаківський","Вулиця","Белзька"
"Франківський","Вулиця","Бенцаля Миколи"
"Сихівський","Вулиця","Бережанська"
"Личаківський","Вулиця","Березова"
"Шевченківський","Вулиця","Берестяна"
"Галицький","Вулиця","Памви Беринди"
"Личаківський","Вулиця","Бескидська"
"Шевченківський","Вулиця","Бетховена Людвіга"
"Залізничний","Вулиця","Біберовича Івана"
"Галицький","Вулиця","Бібліотечна"
"Личаківський","Вулиця","Бігова"
"Шевченківський","Вулиця","Біласа Василя"
"Франківський","Вулиця","Білинського Михайла"
"Залізничний","Вулиця","Білогорща"
"Шевченківський","Вулиця","Білоруська"
"Сихівський","Вулиця","Білоцерківська"
"Шевченківський","Вулиця","Біляшівського Миколи"
"Шевченківський","Вулиця","Бічна Прилбицька"
"Залізничний","Вулиця","Блажкевич Іванни"
"Франківський","Вулиця","Боберського Івана"
"Личаківський","Вулиця","Бобинського Василя"
"Личаківський","Вулиця","Богданівська"
"Личаківський","Вулиця","Богомольця академіка"
"Франківський","Вулиця","Богуна Івана"
"Сихівський","Вулиця","Боднарська"
"Личаківський","Вулиця","Бодянського Осипа"
"Франківський","Вулиця","Бой-Желенського Тадеуша"
"Франківський","Вулиця","Бойківська"
"Франківський","Вулиця","Бойчука Михайла"
"Залізничний","Вулиця","Болбочана Петра"
"Галицький","Вулиця","Болгарська"
"Шевченківський","Вулиця","Бориславська"
"Личаківський","Вулиця","Боровиковського Левка"
"Залізничний","Вулиця","Бортнянського Дмитра"
"Залізничний","Вулиця","Ботанічна"
"Франківський","Вулиця","Ботева Христо"
"Франківський","Вулиця","Боткіна Сергія"
"Залізничний","Вулиця","Братів Климових"
"Залізничний","Вулиця","Братів Міхновських"
"Галицький","Вулиця","Братів Рогатинців"
"Франківський","Вулиця","Братів Тимошенків"
"Шевченківський","Вулиця","Братня"
"Личаківський","Вулиця","Братуня Ростислава"
"Личаківський","Вулиця","Бринського Михайла"
"Шевченківський","Вулиця","Броварна"
"Личаківський","Вулиця","Бродівська"
"Сихівський","Вулиця","Бруснична"
"Залізничний","Вулиця","Бруснівська"
"Франківський","Вулиця","Брюллова Карла"
"Шевченківський","Вулиця","Брюховицька"
"Залізничний","Вулиця","Бузинова"
"Сихівський","Вулиця","Бузкова"
"Сихівський","Вулиця","Буйка Петра"
"Личаківський","Вулиця","Букова"
"Шевченківський","Вулиця","Буковинська"
"Личаківський","Вулиця","Буська"
"Личаківський","Вулиця","Буцманюка Юліана"
"Галицький","Вулиця","Бучми Амвросія"
"Личаківський","Вулиця","Вагилевича Івана"
"Шевченківський","Вулиця","Вагова"
"Залізничний","Вулиця","Вагонна"
"Галицький","Вулиця","Валова"
"Шевченківський","Вулиця","Варшавська"
