"district","street_type","name"
"Центральний","Провулок","1 Аеродромний"
"Ленінський","Провулок","1 Баштанський"
"Корабельний","Провулок","1 Братський"
"Ленінський","Провулок","1 Бульварний"
"Корабельний","Вулиця","1 Вітовська"
"Корабельний","Вулиця","1 Гайдамацька"
"Корабельний","Провулок","1 Гайдамацький"
"Ленінський","Провулок","1 Зелений"
"Корабельний","Провулок","1 Знаменський"
"Ленінський","Вулиця","1 Інгульська"
"Центральний","Провулок","1 Інгульський"
"Ленінський","Провулок","1 Індивідуальний"
"Ленінський","Провулок","1 Казарський"
"Ленінський","Провулок","1 Кільцевий"
"Ленінський","Провулок","1 Кіровський"
"Заводський","Провулок","1 Ковальський"
"Корабельний","Вулиця","1 Козацька"
"Корабельний","Провулок","1 Козацький"
"Ленінський","Провулок","1 Круговий"
"Ленінський","Провулок","1 Легпромівський"
"Корабельний","Провулок","1 Липовий"
"Ленінський","Провулок","1 Лінії"
"Ленінський","Вулиця","1 Лінія"
"Корабельний","Провулок","1 Маячний"
"Центральний","Провулок","1 Молодіжний"
"Ленінський","Провулок","1 Нагірний"
"Заводський","Вулиця","1 Наскрізна"
"Центральний","Провулок","1 Окружний"
"Корабельний","Вулиця","1 Ольвійська"
"Заводський","Провулок","1 Парниковий"
"Центральний","Провулок","1 Північний"
"Центральний","Вулиця","1 Піщана"
"Ленінський","Вулиця","1 Поздовжня"
"Корабельний","Провулок","1 Польовий"
"Ленінський","Провулок","1 Поперечний"
"Корабельний","Провулок","1 Прибузький"
"Корабельний","Провулок","1 Прикордонний"
"Центральний","Провулок","1 Сигнальний"
"Корабельний","Вулиця","1 Січова"
"Центральний","Вулиця","1 Слобідська"
"Заводський","Вулиця","1 Слобідська"
"Корабельний","Провулок","1 Шосейний"
"Заводський","Вулиця","1 Ялтинська"
"Заводський","Провулок","1 Ялтинський"
"Корабельний","Провулок","1 Янтарний"
"Ленінський","Провулок","1 Яровий"
"Корабельний","Вулиця","10 Вітовська"
"Центральний","Вулиця","10 Воєнна"
"Корабельний","Вулиця","10 Козацька"
"Ленінський","Вулиця","10 Лінія"
"Корабельний","Вулиця","10 Ольвійська"
"Ленінський","Вулиця","10 Поздовжня"
"Корабельний","Вулиця","11 Вітовська"
"Центральний","Вулиця","11 Воєнна"
"Корабельний","Вулиця","11 Козацька"
"Ленінський","Вулиця","11 Лінія"
"Ленінський","Вулиця","11 Поздовжня"
"Центральний","Вулиця","116 Дивізії"
"Корабельний","Вулиця","12 Козацька"
"Ленінський","Вулиця","12 Лінія"
"Ленінський","Вулиця","12 Поздовжня"
"Центральний","Вулиця","13 Воєнна"
"Корабельний","Вулиця","13 Козацька"
"Корабельний","Вулиця","14 Козацька"
"Корабельний","Вулиця","15 Козацька"
"Корабельний","Вулиця","16 Козацька"
"Центральний","Провулок","2 Аеродромний"
"Ленінський","Провулок","2 Баштанський"
"Корабельний","Провулок","2 Братський"
"Ленінський","Провулок","2 Бульварний"
"Корабельний","Вулиця","2 Вітовська"
"Центральний","Вулиця","2 Воєнна"
"Корабельний","Вулиця","2 Гайдамацька"
"Корабельний","Провулок","2 Гайдамацький"
"Центральний","Вулиця","2 Госпітальна"
"Ленінський","Провулок","2 Зелений"
"Корабельний","Провулок","2 Знаменський"
"Ленінський","Вулиця","2 Інгульська"
"Центральний","Провулок","2 Інгульський"
"Ленінський","Провулок","2 Індивідуальний"
"Ленінський","Провулок","2 Казарський"
"Ленінський","Провулок","2 Кільцевий"
"Ленінський","Провулок","2 Кіровський"
"Заводський","Провулок","2 Ковальський"
"Корабельний","Вулиця","2 Козацька"
"Корабельний","Провулок","2 Козацький"
"Ленінський","Провулок","2 Круговий"
"Ленінський","Провулок","2 Легпромівський"
"Корабельний","Провулок","2 Липовий"
"Ленінський","Вулиця","2 Лінія"
"Корабельний","Провулок","2 Маячний"
"Ленінський","Вулиця","2 Набережна"
"Центральний","Вулиця","2 Набережна"
"Ленінський","Провулок","2 Нагірний"
"Заводський","Вулиця","2 Наскрізна"
"Центральний","Провулок","2 Окружний"
"Корабельний","Вулиця","2 Ольвійська"
"Заводський","Провулок","2 Парниковий"
"Центральний","Провулок","2 Петровського"
"Центральний","Провулок","2 Північний"
"Центральний","Вулиця","2 Піщана"
"Ленінський","Вулиця","2 Поздовжня"
"Корабельний","Провулок","2 Польовий"
"Заводський","Вулиця","2 Поперечна"
"Ленінський","Провулок","2 Поперечний"
"Корабельний","Провулок","2 Прибузький"
"Корабельний","Провулок","2 Прикордонний"
"Центральний","Провулок","2 Сигнальний"
"Корабельний","Вулиця","2 Січова"
"Центральний","Вулиця","2 Слобідська"
"Заводський","Вулиця","2 Слобідська"
"Корабельний","Провулок","2 Шосейний"
"Заводський","Вулиця","2 Ялтинська"
"Заводський","Провулок","2 Ялтинський"
"Ленінський","Провулок","2 Яровий"
"Центральний","Вулиця","203 Дивізії"
"Ленінський","Вулиця","25 років Жовтня"
"Ленінський","Вулиця","28 Армії"
"Корабельний","Вулиця","295-ої Стрілецької Дивізії"
"Центральний","Провулок","3 Аеродромний"
"Ленінський","Провулок","3 Баштанський"
"Корабельний","Провулок","3 Братський"
"Корабельний","Вулиця","3 Вітовська"
"Корабельний","Вулиця","3 Гайдамацька"
"Корабельний","Провулок","3 Гайдамацький"
"Ленінський","Вулиця","3 Інгульська"
"Центральний","Провулок","3 Інгульський"
"Ленінський","Провулок","3 Казарський"
"Корабельний","Вулиця","3 Козацька"
"Корабельний","Провулок","3 Козацький"
"Ленінський","Провулок","3 Круговий"
"Ленінський","Провулок","3 Легпромівський"
"Корабельний","Провулок","3 Липовий"
"Ленінський","Вулиця","3 Лінія"
"Корабельний","Провулок","3 Маячний"
"Ленінський","Провулок","3 Нагірний"
"Заводський","Вулиця","3 Наскрізна"
"Центральний","Провулок","3 Окружний"
"Корабельний","Вулиця","3 Ольвійська"
"Заводський","Провулок","3 Парниковий"
"Центральний","Провулок","3 Північний"
"Ленінський","Вулиця","3 Поздовжня"
"Заводський","Вулиця","3 Поперечна"
"Корабельний","Провулок","3 Прибузький"
"Корабельний","Провулок","3 Прикордонний"
"Центральний","Провулок","3 Сигнальний"
"Корабельний","Вулиця","3 Січова"
"Корабельний","Провулок","3 Шосейний"
"Заводський","Вулиця","3 Ялтинська"
"Заводський","Провулок","3 Ялтинський"
"Ленінський","Провулок","4 Баштанський"
"Корабельний","Провулок","4 Братський"
"Корабельний","Вулиця","4 Вітовська"
"Корабельний","Вулиця","4 Гайдамацька"
"Корабельний","Провулок","4 Гайдамацький"
"Ленінський","Вулиця","4 Інгульська"
"Корабельний","Вулиця","4 Козацька"
"Корабельний","Провулок","4 Козацький"
"Ленінський","Провулок","4 Круговий"
"Ленінський","Провулок","4 Легпромівський"
"Корабельний","Провулок","4 Липовий"
"Ленінський","Вулиця","4 Лінія"
"Корабельний","Провулок","4 Маячний"
"Ленінський","Провулок","4 Нагірний"
"Центральний","Провулок","4 Окружний"
"Корабельний","Вулиця","4 Ольвійська"
"Заводський","Провулок","4 Парниковий"
"Ленінський","Вулиця","4 Поздовжня"
"Заводський","Вулиця","4 Поперечна"
"Корабельний","Провулок","4 Прибузький"
"Корабельний","Вулиця","4 Січова"
"Заводський","Вулиця","4 Слобідська"
"Заводський","Вулиця","4 Ялтинська"
"Корабельний","Вулиця","5 Вітовська"
"Корабельний","Вулиця","5 Гайдамацька"
"Корабельний","Провулок","5 Гайдамацький"
"Ленінський","Вулиця","5 Інгульська"
"Ленінський","Провулок","5 Інгульський"
"Корабельний","Вулиця","5 Козацька"
"Корабельний","Провулок","5 Козацький"
"Ленінський","Провулок","5 Круговий"
"Корабельний","Провулок","5 Липовий"
"Ленінський","Провулок","5 Лінії"
"Ленінський","Вулиця","5 Лінія"
"Ленінський","Провулок","5 Нагірний"
"Центральний","Провулок","5 Окружний"
"Заводський","Провулок","5 Парниковий"
"Ленінський","Вулиця","5 Поздовжня"
"Корабельний","Провулок","5 Прибузький"
"Корабельний","Вулиця","5 Січова"
"Заводський","Вулиця","5 Слобідська"
"Заводський","Вулиця","5 Ялтинська"
"Корабельний","Вулиця","6 Вітовська"
"Центральний","Вулиця","6 Воєнна"
"Корабельний","Вулиця","6 Гайдамацька"
"Корабельний","Провулок","6 Гайдамацький"
"Ленінський","Вулиця","6 Інгульська"
"Ленінський","Провулок","6 Інгульський"
"Корабельний","Вулиця","6 Козацька"
"Ленінський","Провулок","6 Круговий"
"Корабельний","Провулок","6 Липовий"
"Ленінський","Провулок","6 Нагірний"
"Центральний","Провулок","6 Окружний"
"Корабельний","Вулиця","6 Ольвійська"
"Ленінський","Вулиця","6 Поздовжня"
"Заводський","Вулиця","6 Поперечна"
"Заводський","Вулиця","6 Ялтинська"
"Центральний","Вулиця","68 Десантників"
"Корабельний","Вулиця","7 Вітовська"
"Центральний","Провулок","7 Воєнний"
"Корабельний","Вулиця","7 Гайдамацька"
"Ленінський","Вулиця","7 з'їзду Рад"
"Корабельний","Вулиця","7 Козацька"
"Ленінський","Провулок","7 Круговий"
"Ленінський","Провулок","7 Лінії"
"Ленінський","Провулок","7 Нагірний"
"Центральний","Провулок","7 Окружний"
"Корабельний","Вулиця","7 Ольвійська"
"Ленінський","Вулиця","7 Поздовжня"
"Заводський","Вулиця","7 Поперечна"
"Ленінський","Вулиця","7 Слобідська"
"Заводський","Вулиця","7 Ялтинська"
"Заводський","Вулиця","8 Березня"
"Корабельний","Вулиця","8 Вітовська"
"Центральний","Вулиця","8 Воєнна"
"Корабельний","Вулиця","8 Козацька"
"Ленінський","Вулиця","8 Лінія"
"Корабельний","Вулиця","8 Ольвійська"
"Ленінський","Вулиця","8 поздовжня"
"Заводський","Вулиця","8 Поперечна"
"Корабельний","Вулиця","9 Вітовська"
"Центральний","Вулиця","9 Воєнна"
"Корабельний","Вулиця","9 Козацька"
"Ленінський","Вулиця","9 Лінія"
"Корабельний","Вулиця","9 Ольвійська"
"Ленінський","Вулиця","9 Поздовжня"
"Заводський","Вулиця","9 Поперечна"
"Заводський","Провулок","А"
"Корабельний","Провулок","А"
"Заводський","Вулиця","Абрикосова"
"Центральний","Вулиця","Абрикосова"
"Ленінський","Вулиця","Авангардна"
"Ленінський","Провулок","Авангардний"
"Центральний","Вулиця","Авіаційна"
"Заводський","Провулок","Авіаційний"
"Ленінський","Вулиця","Автомобільна"
"Корабельний","Вулиця","Адмірала Лазарєва"
"Заводський","Вулиця","Адмірала Макарова"
"Центральний","Вулиця","Адмірала Макарова"
"Корабельний","Вулиця","Адмірала Ушакова"
"Центральний","Вулиця","Адміральська"
"Ленінський","Вулиця","Аеродромна"
"Центральний","Вулиця","Аеродромна"
"Центральний","Вулиця","Аерофлотська"
"Корабельний","Вулиця","Айвазовського"
"Корабельний","Вулиця","Академіка Рильського"
"Центральний","Вулиця","Акіма"
"Ленінський","Вулиця","Анатолія Олійника"
"Корабельний","Вулиця","Андрєєва"
"Заводський","Вулиця","Андрєєва-Палагнюка"
"Корабельний","Вулиця","Артема"
"Центральний","Вулиця","Артилерійська"
"Центральний","Вулиця","Архітектора Старова"
"Заводський","Провулок","Б"
"Корабельний","Провулок","Багрицького"
"Корабельний","Вулиця","Балабанівська"
"Корабельний","Провулок","Балабанівський"
"Центральний","Вулиця","Балкова"
"Корабельний","Вулиця","Балтійська"
"Ленінський","Вулиця","Батуріна"
"Ленінський","Вулиця","Баштанська"
"Корабельний","Вулиця","Бела Куна"
"Корабельний","Провулок","Бела Куна"
"Центральний","Вулиця","Берегова"
"Центральний","Вулиця","Березанська"
"Центральний","Провулок","Березанський"
"Центральний","Вулиця","Березнева"
"Ленінський","Провулок","Березневий"
"Центральний","Вулиця","Березневого повстання"
"Корабельний","Вулиця","Березова"
"Центральний","Вулиця","Березова"
"Центральний","Вулиця","Бєлінського"
"Центральний","Вулиця","Билинна"
"Заводський","Вулиця","Біла"
"Заводський","Провулок","Білий"
"Центральний","Вулиця","Біржова"
"Центральний","Вулиця","Благодатна"
"Центральний","Вулиця","Благоєва"
"Корабельний","Провулок","Блюхера"
"Корабельний","Вулиця","Богдана Хмельницького"
"Центральний","Вулиця","Богдана Хмельницького"
"Корабельний","Вулиця","Богоявленська"
"Центральний","Вулиця","Бокова"
"Центральний","Вулиця","Болгарська"
"Центральний","Вулиця","Бондаренка"
"Центральний","Провулок","Бондаренка"
"Заводський","Вулиця","Братів Неживих"
"Корабельний","Вулиця","Братська"
"Корабельний","Вулиця","Бригадна"
"Корабельний","Провулок","Бригадний"
"Центральний","Вулиця","Бронзова"
"Корабельний","Провулок","Бубнова"
"Ленінський","Вулиця","Будівельників"
"Заводський","Вулиця","Будьонного"
"Центральний","Вулиця","Бузкова"
"Заводський","Вулиця","Бузника"
"Заводський","Провулок","Бузника"
"Заводський","Вулиця","Бузька"
"Центральний","Вулиця","Бузька"
"Ленінський","Вулиця","Буревісників"
"Ленінський","Провулок","Буревісників"
"Заводський","Вулиця","Бутоми"
"Заводський","Провулок","Бутоми"
"Центральний","Вулиця","Вазова"
"Центральний","Вулиця","Варнінська"
"Ленінський","Вулиця","Васляєва"
"Корабельний","Вулиця","Ватутіна"
"Центральний","Вулиця","Велика Морська"
"Центральний","Вулиця","Велико-Тирнівська"
"Корабельний","Вулиця","Вербицького"
"Центральний","Вулиця","Верхня"
"Центральний","Вулиця","Веселинівська"
"Центральний","Провулок","Веселинівський"
"Заводський","Вулиця","Веселкова"
"Ленінський","Провулок","Весняний"
"Центральний","Вулиця","Ветеранів"
"Центральний","Провулок","Вечірній"
"Центральний","Вулиця","Вечірня"
"Ленінський","Вулиця","Виноградна"
"Центральний","Вулиця","Виноградна"
"Ленінський","Провулок","Виноградний"
"Корабельний","Провулок","Висунський"
"Центральний","Вулиця","Вишнева"
"Центральний","Провулок","Відважний"
"Центральний","Вулиця","Відрадна"
"Центральний","Провулок","Відрадний"
"Корабельний","Вулиця","Відродження"
"Центральний","Вулиця","Відродження"
"Центральний","Провулок","Відродження"
"Центральний","Провулок","Військове містечко"
"Корабельний","Вулиця","Вільна"
"Корабельний","Провулок","Вільний"
"Корабельний","Вулиця","Вільхова"
"Ленінський","Вулиця","Віті Хоменка"
"Центральний","Вулиця","Водна"
"Заводський","Вулиця","Водопровідна"
"Ленінський","Провулок","Воєнний"
"Центральний","Вулиця","Вознесенська"
"Корабельний","Вулиця","Вокзальна"
"Корабельний","Вулиця","Волгоградська"
"Центральний","Вулиця","Володарського"
"Центральний","Вулиця","Воровського"
"Центральний","Провулок","Воровського"
"Центральний","Вулиця","Вороніна"
