"district","street_type","name"
"Приморський","Провулок","Артилерійський 1-й"
"Київський","Вулиця","Авдєєва Чорноморського"
"Київський","Вулиця","Авіаторів"
"Малиновський","Вулиця","Авіаційна"
"Київський","Проспект","Адміральський"
"Малиновський","Проспект","Адміральський"
"Приморський","Вулиця","Азарова віце-адмірала"
"Київський","Провулок","Академічний 1-й"
"Малиновський","Вулиця","Акордна"
"Київський","Вулиця","Амбулаторна"
"Київський","Провулок","Амбулаторний"
"Київський","Провулок","Амбулаторний 1-й"
"Київський","Провулок","Амбулаторний 2-й"
"Суворовський","Вулиця","Андрієвського"
"Приморський","Провулок","Аркадіївський"
"Приморський","Вулиця","Аркадійська алея"
"Приморський","Вулиця","Армійська"
"Приморський","Вулиця","Артилерійська"
"Київський","Вулиця","Архітектурна"
"Приморський","Вулиця","Асташкіна"
"Приморський","Провулок","Асташкіна"
"Київський","Вулиця","Астрономічна"
"Київський","Вулиця","Ахматової"
"Київський","Вулиця","Архітекторська"
"Малиновський","Вулиця","Бабаджаняна маршала"
"Малиновський","Вулиця","Бабеля"
"Київський","Вулиця","Бабушкіна"
"Київський","Провулок","Бабушкіна"
"Малиновський","Вулиця","Багрицького"
"Приморський","Вулиця","Базарна"
"Київський","Провулок","Байдукова"
"Приморський","Тупик","Байкал"
"Приморський","Вулиця","Балківська"
"Суворовський","Дорога","Балтська"
"Суворовський","Провулок","Балтський 1-й"
"Суворовський","Провулок","Балтський 2-й"
"Суворовський","Провулок","Балтський 3-й"
"Суворовський","Провулок","Балтський 4-й"
"Суворовський","Провулок","Балтський 5-й"
"Суворовський","Провулок","Балтський 6-й"
"Суворовський","Провулок","Балтський 7-й"
"Суворовський","Провулок","Балтський 8-й"
"Малиновський","Провулок","Банний"
"Приморський","Вулиця","Басейна"
"Приморський","Провулок","Басейний 1-й"
"Приморський","Провулок","Басейний 2-й"
"Приморський","Провулок","Басейний 3-й"
"Приморський","Провулок","Басейний 4-й"
"Приморський","Провулок","Басейний 5-й"
"Приморський","Провулок","Басейний 6-й"
"Київський","Провулок","Батареї 411-ї"
"Київський","Вулиця","Баштанна"
"Приморський","Вулиця","Бєлінського"
"Київський","Провулок","Бєлякова"
"Київський","Провулок","Безіменний"
"Київський","Вулиця","Берегова (Чорноморка)"
"Київський","Вулиця","Березова"
"Київський","Провулок","Березовий"
"Приморський","Провулок","Бісквітний"
"Київський","Вулиця","Богатського академіка"
"Приморський","Провулок","Богданова"
"Київський","Вулиця","Божія Михайла"
"Малиновський","Вулиця","Болгарська"
"Приморський","Вулиця","Болгарська"
"Приморський","Провулок","Ботанічний"
"Малиновський","Вулиця","Братів Поджіо"
"Малиновський","Вулиця","Бреуса"
"Київський","Вулиця","Бригадна"
"Приморський","Вулиця","Бугаївська"
"Приморський","Вулиця","Буніна"
"Малиновський","Вулиця","Бучми Амвросія"
"Київський","Вулиця","Вазова Івана"
"Приморський","Провулок","Валіховський"
"Приморський","Провулок","Ванний"
"Київський","Вулиця","Ванцетті"
"Київський","Провулок","Ванцетті"
"Київський","Вулиця","Варненська"
"Київський","Вулиця","Васнєцова"
"Приморський","Провулок","Ватманський"
"Малиновський","Вулиця","Ватутіна генерала"
"Суворовський","Вулиця","Векслера академіка"
"Приморський","Вулиця","Велика Арнаутська"
"Київський","Вулиця","Венгера"
