"street_type","name"
"Вулиця","Авіаційна"
"Провулок","Авіаційний"
"Вулиця","Автоагрегатчиків"
"Вулиця","Автобазівська"
"Вулиця","Адміністративна"
"Вулиця","Аеродромна"
"Вулиця","Аеронавтів"
"Вулиця","Алмазна"
"Вулиця","Амундсена"
"Провулок","Андріївський"
"Провулок","Арктичний"
"Вулиця","Артема"
"Вулиця","Астрономічна"
"Вулиця","Бакинських Комісарів"
"Вулиця","Балакіна"
"Вулиця","Баленка"
"Вулиця","Балкова"
"Провулок","Барвистий"
"Вулиця","Барикадна"
"Вулиця","Баумана"
"Вулиця","Баяна"
"Вулиця","Безвірницька"
"Вулиця","Берегова"
"Вулиця","Берестова"
"Провулок","Бистовський"
"Вулиця","Бібліотечна"
"Вулиця","Бідного"
"Вулиця","Бірюзова Маршала"
"Провулок","Блакитний"
"Вулиця","Богуна"
"Вулиця","Боженка"
"Провулок","Бойовий"
"Бульвар","Боровиковського"
"Вулиця","Бородая"
"Провулок","Ботанічний"
"Провулок","Брестський"
"Вулиця","Бригадна"
"Вулиця","Бугрова"
"Провулок","Бумажний"
"Провулок","Будівельний"
"Вулиця","Будьонного"
"Провулок","Бульварний"
"Проспект","Вавилова Миколи"
"Провулок","Вагонний"
"Вулиця","Вакулинцівська"
"Провулок","Вантажний"
"Вулиця","Васильківського"
"Вулиця","Ватутіна"
"Вулиця","Велика"
"Провулок","Великий"
"Вулиця","Великорогізнянська"
"Вулиця","Великотирновська"
"Провулок","Вербовий"
"Провулок","Верхній"
"Вулиця","Верховинця"
"Вулиця","Верхолянська"
"Провулок","Весняний"
"Вулиця","Ветеринарна"
"Провулок","Ветеринарний"
"Провулок","Виборзький"
"Вулиця","Визволення"
"Провулок","Високий"
"Провулок","Вишневий"
"Провулок","Візничий"
"Вулиця","Військова"
"Провулок","Вільний"
"Вулиця","Вільхова"
"Вулиця","Вільямса"
"Провулок","Вітряний"
"Вулиця","Водяна"
"Вулиця","Вознесенська"
"Провулок","Войкова"
"Вулиця","Володарського"
"Вулиця","Володимирська"
"Провулок","Волочаєвський"
"Вулиця","Воровського"
"Вулиця","Вороніна"
"Провулок","Воронянський"
"Узвіз","Воскресенський"
"Провулок","Вугловий"
"Вулиця","Вузька"
"Провулок","Вузький"
"Вулиця","Гагаріна"
"Вулиця","Газова"
"Вулиця","Гайдара Аркадія"
"Вулиця","Гайдаренка"
"Вулиця","Гайового"
"Вулиця","Галана Ярослава"
"Вулиця","Гаражна"
"Провулок","Гаршина"
"Вулиця","Гастелла"
"Вулиця","Гвардійська"
"Вулиця","Геодезична"
"Провулок","Геодезичний"
"Вулиця","Геращенка"
"Вулиця","Героїв Праці"
"Вулиця","Героїв Сталінграду"
"Вулиця","Герцена"
"Вулиця","Гетьманська"
"Вулиця","Гладкого"
"Провулок","Глибокий"
"Провулок","Глиняний"
"Вулиця","Глібова"
"Провулок","Глінки"
"Вулиця","Гоголя"
"Вулиця","Гожулівська"
"Вулиця","Головка"
"Вулиця","Гончарова"
"Вулиця","Горбанівська"
"Провулок","Гористий"
"Вулиця","Горького"
"Провулок","Госпітальний"
"Вулиця","Грабиновська"
"Провулок","Грабиновський"
"Провулок","Грабовського"
"Вулиця","Грабчака"
"Провулок","Градизький"
"Вулиця","Гребінки"
"Провулок","Гречаний"
"Вулиця","Грибоєдова"
"Вулиця","Громадська"
"Вулиця","Грушева"
"Вулиця","Грушевського Михайла"
"Вулиця","Гулака-Артемовського"
"Провулок","Грунтовий"
"Вулиця","Енгельса"
"Вулиця","Єднання"
"Вулиця","Желвакова"
"Вулиця","Желябова"
"Вулиця","Жовтнева"
"Вулиця","Жуківська"
"Вулиця","Зіньківська"
"Вулиця","Зелена"
"Вулиця","Івончанська"
"Вулиця","Індустріальна"
"Проїзд","Інститутський"
"Провулок","Інтернаціональний"
"Вулиця","Іскрівська"
"Вулиця","Історична"
"Вулиця","Кагамлика"
"Вулиця","Кириченко Раїси"
"Вулиця","Кондратенка"
"Вулиця","Короленка"
"Вулиця","Коломенська"
"Вулиця","Котляревського"
"Вулиця","Коваля"
"Вулиця","Коцюбинського"
"Вулиця","Леніна"
"Вулиця","Убийвовк Лялі"
"Вулиця","Монастирська"
"Вулиця","Новий Базар"
"Вулиця","Овочева"
"Вулиця","Огнівська"
"Вулиця","Огородня"
"Вулиця","Озерна"
"Провулок","Окопний"
"Провулок","Оксамитовий"
"Вулиця","Опитна"
"Провулок","Опішнянський"
"Вулиця","Освітянська"
"Вулиця","Осипенко"
"Вулиця","Осіння"
"Вулиця","Остапа Вишні"
"Вулиця","Островського"
"Провулок","Островського"
"Вулиця","Остроградського"
"Вулиця","Мирного Панаса"
"Вулиця","Панянка"
"Вулиця","Паризької Комуни"
"Вулиця","Пушкіна"
"Провулок","Радгоспівський"
"Вулиця","Радіщева"
"Провулок","Радіщева"
"Провулок","Радянський 1-й"
"Провулок","Радянський 2-й"
"Вулиця","Радянської Армії"
"Провулок","Радянської Армії"
"Вулиця","Разіна"
"Вулиця","Ракова"
"Вулиця","Ранкова"
"Вулиця","Рахівнича"
"Вулиця","Революційна"
"Вулиця","Редутна"
"Вулиця","Реконструктивна"
"Провулок","Реконструктивний"
"Провулок","Рельсовий"
"Вулиця","Реміснича"
"Вулиця","Республіканська"
"Вулиця","Рєпіна"
"Провулок","Рибальський"
"Провулок","Рибальський 1-й"
