"street_type","name"
"Вулиця","Абрикосова"
"Провулок","Агрусовий"
"Вулиця","Азовська"
"Вулиця","Академіка Корольова"
"Провулок","Авіаторів"
"Вулиця","Айвазовського"
"Вулиця","Акацій"
"Вулиця","Амосова Миколи"
"Тупик","Андезитовий"
"Вулиця","Анкудінова"
"Вулиця","Антонівська"
"Вулиця","Артилерійська"
"Площа","Бабушкіна"
"Вулиця","Баб'яка Боздоська"
"Вулиця","Баґратіона"
"Вулиця","Бажана"
"Вулиця","Базиловича"
"Провулок","Баконія"
"Вулиця","Балудянського"
"Вулиця","Барвінкова"
"Вулиця","Бартока"
"Вулиця","Бачинського"
"Площа","Бачинського"
"Вулиця","Бейкешчобо"
"Вулиця","Белінського"
"Вулиця","Беняка"
"Вулиця","Бердянська"
"Вулиця","Берегівська"
"Вулиця","Берчені"
"Вулиця","Березова"
"Вулиця","Бестужева"
"Вулиця","Білоруська"
"Вулиця","Бічна"
"Провулок","Блакитний"
"Вулиця","Благоєва"
"Вулиця","Богатирська"
"Площа","Богдана Хмельницького"
"Вулиця","Богомольця"
"Вулиця","Боженка"
"Вулиця","Божук Миколи"
"Провулок","Бузьковий"
"Вулиця","Букова"
"Вулиця","Бокшая"
"Вулиця","Болгарська"
"Вулиця","Болотинська"
"Вулиця","Борканюка"
"Вулиця","Бородіна"
"Вулиця","Боршош-Кум'ятського"
"Набережна","Ботанічна"
"Провулок","Ботанічний"
"Вулиця","Бращайків"
"Вулиця","Брестська"
"Вулиця","Бродлаковича"
"Вулиця","Будителів"
"Вулиця","Буковинська"
"Провулок","Бузьковий"
"Вулиця","Вавілова"
"Вулиця","Вакарова"
"Вулиця","Ватутіна"
"Вулиця","Вайди"
"Провулок","Великоберезнянський"
"Вулиця","Великокам'яна"
"Провулок","Вербний"
"Вулиця","Верещагіна"
"Вулиця","Верховинська"
"Провулок","Весняний"
"Вулиця","Вірменська"
"Вулиця","Вільхова"
"Вулиця","Виноградна"
"Вулиця","Виноградівська"
"Вулиця","Винична"
"Вулиця","Висока"
"Вулиця","Високовольтна"
"Провулок","Вишневий"
"Вулиця","Визволення"
"Провулок","Виноробів"
"Провулок","Вишненімецький"
"Вулиця","Вишні Остапа"
"Вулиця","Вільнюська"
"Вулиця","Вільхова"
"Провулок","Волошковий"
