"street_type","name"
"Вулиця","1 Травня"
"Вулиця","8 Березня"
"Провулок","8 Березня"
"Вулиця","Авіаторів"
"Проїзд","Автомобільний"
"Вулиця","Агрономічна"
"Вулиця","Адмірала Щастного"
"Вулиця","Академіка Векслера"
"Вулиця","Академіка Дашкевича"
"Проїзд","Академіка Липського"
"Проїзд","Академіка Омелянського"
"Вулиця","Академіка Скальковського"
"Провулок","Академіка Слуцького"
"Проїзд","Академіка Тарасєвича"
"Проїзд","Академіка Тутковського"
"Провулок","Альбрехта"
"Вулиця","Андріївська"
"Проїзд","Андріївський"
"Узвіз","Андріївський"
"Провулок","Андріївський 1-й"
"Вулиця","Артема Любовича"
"Провулок","Артема Любовича 1-й"
"Провулок","Артема Любовича 2-й"
"Провулок","Артільний"
"Вулиця","Археологічна"
"Проїзд","Археологічний"
"Вулиця","Багратіонівська"
"Вулиця","Бальзаківська"
"Провулок","Баранівський"
"Вулиця","Баранова"
"Вулиця","Барашівська"
"Провулок","Барашівський 1-й"
"Провулок","Барашівський 2-й"
"Провулок","Барвистий"
"Вулиця","Басейна"
"Вулиця","Басова"
"Провулок","Бджолиний"
"Провулок","Безименського"
"Шосе","Бердичівське"
"Проїзд","Бердичівський"
"Провулок","Бердичівський 1-й"
"Провулок","Бердичівський 2-й"
"Провулок","Береговий"
"Вулиця","Березівська"
"Провулок","Березівський 1-й"
"Провулок","Березівський 3-й"
"Провулок","Березівський 4-й"
"Провулок","Березівський 5-й"
"Провулок","Березівський 7-й"
"Проїзд","Бєльського"
"Вулиця","Білоруська"
"Проїзд","Біологічний"
"Провулок","Бічний"
"Вулиця","Богдана Хмельницького"
"Провулок","Богуна"
"Вулиця","Богунська"
"Провулок","Богунський 1-й"
"Проїзд","Богунський 1-й"
"Провулок","Богунський 2-й"
"Проїзд","Богунський 2-й"
"Проїзд","Богунський 3-й"
"Проїзд","Богунський 4-й"
"Проїзд","Богунський 5-й"
"Провулок","Боженка 2-й"
"Провулок","Боженка 3-й"
"Вулиця","Болгарська"
"Вулиця","Бондарна"
"Провулок","Бондарний"
"Проїзд","Бондарний"
"Вулиця","Бориса Лятошинського"
"Вулиця","Бориса Тена"
"Вулиця","Бородія"
"Проїзд","Ботанічний"
"Провулок","Брасюка"
"Проїзд","Бруховського"
"Вулиця","Бугайченка"
"Вулиця","Будівельна"
"Провулок","Будівельний"
"Вулиця","Будівельників"
"Вулиця","Будьонного"
"Проїзд","Бузковий"
"Вулиця","Бялика"
"Вулиця","В'ячеслава Малі"
"Вулиця","Ватутіна"
"Провулок","Ватутіна"
"Провулок","Ватутіна 1-й"
"Провулок","Вацківський"
"Вулиця","Вацлава Длоуги"
"Вулиця","Велика Бердичівська"
"Вулиця","Вересівський Шлях"
"Проїзд","Вересковий"
"Провулок","Веселий"
"Провулок","Весняний"
"Провулок","Взуттєвий"
"Вулиця","Видумка"
"Майдан","Визволення"
"Вулиця","Винниченка"
"Проїзд","Винниченка"
"Провулок","Виноградний"
"Проїзд","Винокурний"
"Провулок","Винокурний 1-й"
"Провулок","Винокурний 2-й"
"Провулок","Винокурний 4-й"
"Провулок","Виробничий"
"Провулок","Вишневий 1-й"
"Провулок","Вишневий 2-й"
"Провулок","Вишневий 3-й"
"Провулок","Вишневий 4-й"
"Провулок","Вишневий 5-й"
"Провулок","Вишневий 6-й"
"Провулок","Вільський 1-й"
"Провулок","Вільський 2-й"
"Провулок","Вільський 3-й"
"Провулок","Вільський 4-й"
"Вулиця","Вінницька"
"Вулиця","Вітрука"
"Провулок","Водопровідний"
"Вулиця","Войкова"
"Провулок","Войкова"
"Вулиця","Вокзальна"
"Провулок","Вокзальний"
"Бульвар","Волинський"
"Майдан","Волинський"
"Проїзд","Волошковий"
"Вулиця","Ворошилова"
"Провулок","Вузький"
"Проїзд","Вчених"
"Вулиця","Гагаріна"
"Вулиця","Гайдамацька"
"Провулок","Галанчикової"
"Проїзд","Галичський"
"Провулок","Галовий"
"Проїзд","Гамченка"
"Вулиця","Гаражна"
"Вулиця","Генерала Потапова"
"Вулиця","Героїв Пожежних"
"Вулиця","Героїв Сталінграда"
"Вулиця","Героїв Чорнобиля"
"Вулиця","Гетьмана Виговського"
"Вулиця","Гетьмана Самойловича"
"Вулиця","Гоголівська"
"Провулок","Гоголівський 1-й"
"Провулок","Гоголівський 2-й"
"Провулок","Гоголівський 3-й"
"Вулиця","Гончарна"
"Провулок","Гончарний"
"Проїзд","Горіховий"
"Провулок","Городній"
"Провулок","Госпітальний 1-й"
"Провулок","Госпітальний 2-й"
"Провулок","Госпітальний 3-й"
"Вулиця","Гранітна"
"Провулок","Гранітний 2-й"
"Вулиця","Гречка"
"Проїзд","Грибний"
"Провулок","Гуйвинський"
"Провулок","Давидівський"
"Провулок","Далекий 1-й"
"Провулок","Далекий 2-й"
"Провулок","Далекий 3-й"
"Провулок","Далекий 4-й"
"Провулок","Далекий 5-й"
"Вулиця","Дачна"
"Провулок","Дачний 1-й"
"Провулок","Дачний 10-й"
"Провулок","Дачний 11-й"
"Провулок","Дачний 2-й"
"Провулок","Дачний 4-й"
"Провулок","Дачний 5-й"
"Провулок","Дачний 6-й"
"Провулок","Дачний 8-й"
"Провулок","Дачний 9-й"
"Майдан","Декабристів"
"Вулиця","Дениса Давидова"
"Вулиця","Денишівська"
"Провулок","Деревообробний"
"Провулок","Джерельний"
"Вулиця","Дитячої Комуни"
"Вулиця","Дібровна"
"Вулиця","Дмитрівська"
"Вулиця","Довженка"
"Вулиця","Домбровського"
"Вулиця","Дружби"
"Провулок","Дружби 1-й"
"Провулок","Дружби 2-й"
"Провулок","Евеліни Ганської"
"Провулок","Енергетичний"
"Вулиця","Ємельянова"
"Провулок","Ємельянова"
"Провулок","Ємільчинський"
"Провулок","Живичний"
"Провулок","Житній 1-й"
"Провулок","Житній 2-й"
"Вулиця","Житній Базар"
"Майдан","Житній Ринок"
"Проїзд","Жоржиновий"
"Вулиця","Жуйка"
"Вулиця","Заводська"
"Провулок","Заводський 1-й"
"Провулок","Завокзальний 1-й"
"Провулок","Завокзальний 2-й"
"Вулиця","Закам'янська"
"Вулиця","Залізнична"
"Провулок","Залізничний 1-й"
"Вулиця","Замкова"
"Майдан","Замковий"
"Майдан","Зарембського"
"Вулиця","Зарічна"
"Проїзд","Затишний"
"Вулиця","Західна"
"Шосе","Західне"
"Провулок","Західний 1-й"
"Провулок","Західний 2-й"
"Провулок","Західний 3-й"
"Провулок","Західний 4-й"
"Провулок","Західний 5-й"
"Провулок","Західний 6-й"
"Провулок","Західний 7-й"
"Вулиця","Зв'язківців"
"Вулиця","Звягельська"
"Майдан","Згоди"
"Вулиця","Зелена"
"Набережна","Зелена"
"Провулок","Зелений 1-й"
"Провулок","Зелений 2-й"
"Провулок","Зелений 3-й"
"Провулок","Зелений 4-й"
"Провулок","Зелений Бір"
"Провулок","Зенітний"
"Проїзд","Зенітний"
"Вулиця","Зоряна"
"Проїзд","Зручний"
"Вулиця","Івана Білика"
"Проїзд","Івана Богуна"
"Вулиця","Івана Гонти"
"Провулок","Івана Гонти"
"Вулиця","Івана Кочерги"
"Вулиця","Івана Огієнка"
"Вулиця","Івана Франка"
"Провулок","Іванівський"
"Проїзд","Іванівський"
"Проїзд","Іллінських"
"Вулиця","Індустріальна"
"Проїзд","Індустріальний"
"Провулок","Індустріальний 1-й"
"Провулок","Індустріальний 2-й"
"Провулок","Індустріальний 3-й"
"Проїзд","Інженерний"
"Проїзд","Інститутський"
"Провулок","Іподромний 1-й"
"Провулок","Іподромний 2-й"
"Провулок","Іршанський"
"Провулок","Кавалерійський"
"Вулиця","Калинова"
"Провулок","Кам'яний Узвіз"
"Вулиця","Кам'янська"
"Проїзд","Кам'янський"
"Проїзд","Кам'янський 1-й"
"Проїзд","Кам'янський 2-й"
"Провулок","Кар'єрний 1-й"
"Провулок","Кар'єрний 2-й"
"Провулок","Кар'єрний 3-й"
"Провулок","Кар'єрний 4-й"
"Вулиця","Каракульна"
"Провулок","Каракульний 1-й"
"Провулок","Каракульний 2-й"
"Провулок","Каракульний 3-й"
"Провулок","Каракульний 4-й"
"Провулок","Каретний"
"Вулиця","Кармелюка"
"Провулок","Кармелюка 1-й"
"Провулок","Кармелюка 2-й"
"Проїзд","Кароля Гейнча"
"Вулиця","Кафедральна"
"Вулиця","Каховська"
"Проїзд","Каховський"
"Провулок","Каховський 1-й"
"Провулок","Каховський 2-й"
"Провулок","Каховський 3-й"
"Провулок","Каховський 4-й"
"Провулок","Квітковий"
"Вулиця","Кибальчича"
"Вулиця","Київська"
"Шосе","Київське"
"Провулок","Київський 1-й"
"Провулок","Київський 2-й"
"Провулок","Київський 3-й"
"Провулок","Київський 4-й"
"Проїзд","Кирпоноса"
"Вулиця","Кільцева"
"Провулок","Кірова 1-й"
"Вулиця","Княгині Ольги"
"Вулиця","Козятинська"
"Вулиця","Корабельна"
"Вулиця","Короленка"
"Вулиця","Корольова"
